#Summary : 
#Best fitness Pop 1;0.935665
#Best fitness Pop 2;0.935665
#Std deviation Pop 1;0.0724176
#Std deviation Pop 2;0.185298
#Sensitivity;0.896661
#Specificity;0.943576
#Accuracy;0.927007
#PPV;0.896661
#RMSE;0.253676
#RRSE;0.795789
#RAE;0.348908
#MSE;0.0643514
#ADM;0.880843
#MDM;0.00790024
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;1
#Number of var per rule;5
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF 1566363_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
1566363_at (6.79236 , 12.6999) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
92; 0.935632; 0.744696; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
93; 0.935632; 0.761618; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
94; 0.935632; 0.791021; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
95; 0.935632; 0.778311; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
96; 0.935632; 0.774227; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
97; 0.935632; 0.784602; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
98; 0.935632; 0.780417; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
99; 0.935632; 0.79281; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
100; 0.935632; 0.76593; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
101; 0.935632; 0.786141; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
102; 0.935632; 0.77624; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
103; 0.935632; 0.781066; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
104; 0.935632; 0.775948; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
105; 0.935632; 0.775701; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
106; 0.935632; 0.75601; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
107; 0.935632; 0.748504; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
108; 0.935632; 0.756735; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
109; 0.935632; 0.769071; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
110; 0.935632; 0.750789; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
111; 0.935632; 0.732149; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
112; 0.935632; 0.720674; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
113; 0.935632; 0.696585; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
114; 0.935632; 0.706766; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
115; 0.935632; 0.71215; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
116; 0.935632; 0.712595; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
117; 0.935632; 0.712545; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
118; 0.935632; 0.71824; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
119; 0.935632; 0.745128; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
120; 0.935632; 0.764265; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
121; 0.935632; 0.772019; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
122; 0.935632; 0.787989; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
123; 0.935632; 0.769108; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
