#Summary : 
#Best fitness Pop 1;0.925681
#Best fitness Pop 2;0.925681
#Std deviation Pop 1;0.0480715
#Std deviation Pop 2;0.178311
#Sensitivity;0.82194
#Specificity;0.988715
#Accuracy;0.929815
#PPV;0.975472
#RMSE;0.256371
#RRSE;1.11271
#RAE;0.630687
#MSE;0.0657261
#ADM;0.896731
#MDM;0.00528255
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;5
#Number of var per rule;1
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF  THEN  is MF 1
 IF  THEN  is MF 0
 IF  THEN  is MF 0
 IF  THEN  is MF 1
 IF 214761_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
214761_at (3.3401 , 5.82106) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
90; 0.925644; 0.887533; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
91; 0.925644; 0.890582; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
92; 0.925644; 0.88469; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
93; 0.925644; 0.889881; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
94; 0.925644; 0.892155; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
95; 0.925644; 0.892577; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
96; 0.925644; 0.907951; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
97; 0.925644; 0.904792; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
98; 0.925644; 0.891616; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
99; 0.925644; 0.891509; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
100; 0.925644; 0.886307; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
101; 0.925644; 0.89852; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
102; 0.925644; 0.900402; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
103; 0.925644; 0.921193; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
104; 0.925644; 0.922575; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
105; 0.925644; 0.922845; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
106; 0.925644; 0.924858; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
107; 0.925644; 0.925522; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
108; 0.925644; 0.924647; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
109; 0.925644; 0.922004; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
110; 0.925644; 0.922668; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
111; 0.925644; 0.921429; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
112; 0.925644; 0.920241; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
113; 0.925644; 0.919291; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
114; 0.925644; 0.914422; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
115; 0.925644; 0.923512; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
116; 0.925644; 0.922674; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
117; 0.925644; 0.916965; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
118; 0.925644; 0.9193; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
119; 0.925644; 0.917872; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
120; 0.925644; 0.911723; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
121; 0.925644; 0.90217; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
122; 0.925644; 0.904898; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
123; 0.925644; 0.907458; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
124; 0.925644; 0.902779; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
125; 0.925644; 0.899977; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
126; 0.925644; 0.896487; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
127; 0.925644; 0.903892; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
128; 0.925644; 0.894868; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
129; 0.925644; 0.901971; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
130; 0.925644; 0.900448; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
131; 0.925644; 0.882538; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
132; 0.925644; 0.88206; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
